Time_s,Voltage_V
0,2.6883356977305
0.0001,24.3793823059488
0.0002,19.0312153808817
0.0003,49.5646246094914
0.0004,61.4994401993058
0.0005,67.6583864007745
0.0006,85.8818401084141
0.0007,103.108006732297
0.0008,132.063553805813
0.0009,140.176639715213
0.001,131.079566513428
0.0011,163.816652264153
0.0012,162.379019842489
0.0013,167.838672373752
0.0014,180.427997333671
0.0015,183.845421088829
0.0016,191.60847314763
0.0017,206.41608504632
0.0018,212.175108469798
0.0019,217.853339270829
0.002,219.293822285943
0.0021,214.659517044908
0.0022,228.69768893851
0.0023,237.393951592287
0.0024,235.597016692584
0.0025,242.073465049589
0.0026,244.174744057833
0.0027,242.606186258639
0.0028,249.162022947613
0.0029,247.347780737597
0.003,259.367862337491
0.0031,252.901614452418
0.0032,257.083345141603
0.0033,262.251818258137
0.0034,255.522763660693
0.0035,281.438144863881
0.0036,279.907540397223
0.0037,278.544663973265
0.0038,293.173958756386
0.0039,281.691675758001
0.004,293.543031962783
0.0041,296.482465035654
0.0042,302.703031132714
0.0043,305.822291194133
0.0044,302.772024910029
0.0045,309.428907656196
0.0046,310.84308605509
0.0047,316.466634774701
0.0048,320.000452440683
0.0049,320.81216591682
0.005,311.192781655494
0.0051,315.6525948844
0.0052,308.463538877408
0.0053,307.760594629624
0.0054,311.633234510618
0.0055,317.242315678601
0.0056,303.248094927883
0.0057,306.114892274746
0.0058,299.979075425531
0.0059,303.276480937763
0.006,288.608922717949
0.0061,290.412045173094
0.0062,289.085101161471
0.0063,287.822356658518
0.0064,286.002647177461
0.0065,274.675899065683
0.0066,262.78623291748
0.0067,262.587802543962
0.0068,257.119788765844
0.0069,270.389251107273
0.007,251.847874771368
0.0071,255.02457867491
0.0072,246.730573059188
0.0073,248.566443009673
0.0074,236.716072208078
0.0075,229.888655153306
0.0076,226.040668215567
0.0077,231.683744695763
0.0078,224.224619898772
0.0079,219.716684219297
0.008,223.032887371115
0.0081,212.225299073602
0.0082,206.118991288118
0.0083,206.906092457263
0.0084,188.206865106963
0.0085,188.353373459576
0.0086,181.029723639904
0.0087,166.93537103781
0.0088,159.830349149777
0.0089,142.812815275083
0.009,132.089237319717
0.0091,126.853828145871
0.0092,117.78283926831
0.0093,114.322340662685
0.0094,84.7153468664356
0.0095,75.1334830051957
0.0096,59.4931418731561
0.0097,35.5886434183959
0.0098,28.1306189162262
0.0099,6.2365630256977
0.01,4.20187764876959
0.0101,-19.6501176446186
0.0102,-29.8249855202035
0.0103,-47.9764026576036
0.0104,-58.3880100267643
0.0105,-77.1984606929697
0.0106,-85.5999736140728
0.0107,-97.6980687815814
0.0108,-105.612130192277
0.0109,-127.30007224458
0.011,-148.52077756141
0.0111,-152.839978669176
0.0112,-151.979027077735
0.0113,-173.514723181621
0.0114,-172.049513465838
0.0115,-184.250002380312
0.0116,-185.045711775117
0.0117,-208.772097004218
0.0118,-206.118427150667
0.0119,-216.80660462998
0.012,-201.396296464255
0.0121,-216.570857187191
0.0122,-218.216635792283
0.0123,-234.5336764364
0.0124,-235.495625746528
0.0125,-238.262347046251
0.0126,-235.048195301474
0.0127,-245.512750546507
0.0128,-244.184958321313
0.0129,-261.543276255946
0.013,-256.695134167575
0.0131,-262.754897613048
0.0132,-270.31298254644
0.0133,-263.759438475732
0.0134,-268.834264152315
0.0135,-274.078843988583
0.0136,-284.949977417082
0.0137,-276.681844177406
0.0138,-284.571569002893
0.0139,-291.744588003934
0.014,-293.939795229452
0.0141,-298.999677418521
0.0142,-309.858059279121
0.0143,-305.686253068922
0.0144,-311.253257054489
0.0145,-314.475195663013
0.0146,-317.449489429455
0.0147,-315.995883883638
0.0148,-324.547302774901
0.0149,-310.44465231559
0.015,-312.91074525816
0.0151,-315.365938686961
0.0152,-314.707979525628
0.0153,-317.318916259878
0.0154,-306.574054740492
0.0155,-310.245251534716
0.0156,-310.669075315587
0.0157,-297.501069368812
0.0158,-302.23085271715
0.0159,-300.634845397295
0.016,-295.523012181887
0.0161,-294.488889070459
0.0162,-291.923107562128
0.0163,-269.689307108522
0.0164,-270.004099735505
0.0165,-272.708567603614
0.0166,-276.529776267428
0.0167,-270.626651883036
0.0168,-263.310368003601
0.0169,-254.67988467912
0.017,-261.585906285279
0.0171,-262.933530535416
0.0172,-254.938152076323
0.0173,-242.45583671724
0.0174,-238.583550368752
0.0175,-234.641602905359
0.0176,-233.803971106753
0.0177,-228.324329667153
0.0178,-227.492260764962
0.0179,-216.386843600549
0.018,-222.744808972256
0.0181,-208.492229421459
0.0182,-209.373482920464
0.0183,-200.642031702213
0.0184,-189.465278158988
0.0185,-179.674798112803
0.0186,-182.442476230867
0.0187,-161.850653194096
0.0188,-155.451283012523
0.0189,-148.981362700207
0.019,-138.805107203704
0.0191,-127.417486316505
0.0192,-115.687107213943
0.0193,-101.279656277478
0.0194,-87.7933484406987
0.0195,-70.066513931243
0.0196,-52.2707305663443
0.0197,-42.9191858292268
0.0198,-31.3740163778436
0.0199,-12.0840054475352
0.02,0.916136315007066
0.0201,10.06111951514
0.0202,35.0715588415555
0.0203,46.7890676033846
0.0204,60.5814887105085
0.0205,76.7730595599253
0.0206,89.3568318402195
0.0207,96.6874555448264
0.0208,113.359880743166
0.0209,125.599181394132
0.021,135.168944330166
0.0211,157.052552905809
0.0212,154.373351986958
0.0213,165.73487148915
0.0214,173.294260069404
0.0215,178.999189723044
0.0216,191.267997301015
0.0217,197.59724585773
0.0218,212.780298592917
0.0219,209.522253491112
0.022,210.615269553456
0.0221,228.714238148934
0.0222,231.28489141632
0.0223,228.094642891647
0.0224,225.621749321126
0.0225,234.676860917765
0.0226,239.760613212293
0.0227,245.503732152227
0.0228,246.386847383247
0.0229,253.501304320911
0.023,256.885355225865
0.0231,252.383570453131
0.0232,257.687892820786
0.0233,262.59378126056
0.0234,267.705096719277
0.0235,272.643365866804
0.0236,278.34393290675
0.0237,267.173418862093
0.0238,284.037392851552
0.0239,296.461499884223
0.024,288.720737198286
0.0241,302.358341057047
0.0242,302.858602443667
0.0243,304.112969392402
0.0244,308.008685334181
0.0245,301.753884066423
0.0246,311.244783752046
0.0247,321.347830090072
0.0248,315.025862968686
0.0249,315.472667496196
0.025,311.840200201954
0.0251,315.111730778686
0.0252,315.695859158608
0.0253,315.460036124102
0.0254,309.803437442517
0.0255,308.396891218391
0.0256,317.214878929667
0.0257,292.966228358464
0.0258,312.254225839171
0.0259,299.377518746756
0.026,299.054548291155
0.0261,281.928435477334
0.0262,283.372293234883
0.0263,280.928984750287
0.0264,280.395166156044
0.0265,265.895239910553
0.0266,272.602356102749
0.0267,260.235075731889
0.0268,262.758647674567
0.0269,261.89874443057
0.027,256.561184014588
0.0271,256.697362277574
0.0272,252.723051166225
0.0273,240.86885219958
0.0274,241.825599178087
0.0275,232.178110967979
0.0276,226.543605234062
0.0277,233.866904813932
0.0278,225.111744927242
0.0279,220.422357085286
0.028,220.491972946172
0.0281,213.740295690726
0.0282,206.880941890168
0.0283,205.218853148918
0.0284,196.8781421815
0.0285,186.069067665621
0.0286,173.402477298985
0.0287,164.896178530949
0.0288,164.712508070414
0.0289,140.582882989104
0.029,137.706691531031
0.0291,116.585218681295
0.0292,119.274059179448
0.0293,105.70346591157
0.0294,88.0556106373598
0.0295,73.8426418164983
0.0296,47.4741943964944
0.0297,48.1596196210304
0.0298,19.3632750860705
0.0299,3.61355569975627
0.03,0.399668551491649
0.0301,-19.9523621508262
0.0302,-28.2679965787833
0.0303,-41.8688689792309
0.0304,-55.6169512739842
0.0305,-77.652623509216
0.0306,-85.8029121041083
0.0307,-100.891717648028
0.0308,-110.041219114835
0.0309,-123.648669166159
0.031,-133.339559084285
0.0311,-149.301724272117
0.0312,-159.488005998515
0.0313,-163.115079713173
0.0314,-187.47256012662
0.0315,-187.393183407898
0.0316,-198.582167137755
0.0317,-200.880521020931
0.0318,-201.886539710553
0.0319,-206.638741457472
0.032,-221.011054831303
0.0321,-223.05230122175
0.0322,-224.426371311216
0.0323,-230.702092025231
0.0324,-231.643455064719
0.0325,-234.900345285221
0.0326,-245.190126185618
0.0327,-245.007542212215
0.0328,-258.353138607938
0.0329,-245.557386203798
0.033,-258.071337983674
0.0331,-264.656214857275
0.0332,-263.697420849558
0.0333,-273.442546053422
0.0334,-270.348472559176
0.0335,-277.049568382447
0.0336,-267.392694154021
0.0337,-276.626978632466
0.0338,-298.806898571832
0.0339,-288.042623193631
0.034,-301.044933572266
0.0341,-298.964976143095
0.0342,-300.284977070293
0.0343,-300.519328066905
0.0344,-308.461659243666
0.0345,-301.697663404447
0.0346,-314.072166910029
0.0347,-311.690537732909
0.0348,-311.210453492348
0.0349,-314.839856465142
0.035,-311.106281838532
0.0351,-313.64973373951
0.0352,-318.454855013806
0.0353,-322.354965093988
0.0354,-302.374516408356
0.0355,-312.601814581049
0.0356,-306.579625885098
0.0357,-301.442163435216
0.0358,-300.539012453217
0.0359,-302.213331307681
0.036,-296.392817105469
0.0361,-290.873707588385
0.0362,-278.927673598389
0.0363,-286.623384019149
0.0364,-274.358245363502
0.0365,-272.703127700063
0.0366,-271.413484681313
0.0367,-271.584175460062
0.0368,-263.848402205574
0.0369,-259.07041639956
0.037,-262.272859551134
0.0371,-250.323283532036
0.0372,-251.80413199358
0.0373,-244.594593822367
0.0374,-238.859251686146
0.0375,-241.423270296234
0.0376,-234.593829647053
0.0377,-227.492461358792
0.0378,-234.290791394388
0.0379,-215.517072117106
0.038,-203.814030893205
0.0381,-205.970374656641
0.0382,-206.708795995843
0.0383,-196.824483608096
0.0384,-197.409118781278
0.0385,-175.480924077848
0.0386,-172.15076079778
0.0387,-164.217217840023
0.0388,-163.131370027542
0.0389,-147.042289260581
0.039,-140.620472638465
0.0391,-127.886601658523
0.0392,-117.021618690396
0.0393,-106.523552477747
0.0394,-92.5935281543133
0.0395,-75.2463145525789
0.0396,-68.3999344208739
0.0397,-42.2157551284205
0.0398,-30.9144411322398
0.0399,-11.7141555647519
0.04,1.34824320858275
0.0401,17.6813925098708
0.0402,22.9098445733201
0.0403,40.1524360792362
0.0404,57.6706389462891
0.0405,74.745120838939
0.0406,93.6934824800845
0.0407,99.9450691956034
0.0408,120.479322697891
0.0409,128.706578624325
0.041,143.699584971679
0.0411,149.276770272712
0.0412,155.467919073018
0.0413,160.746951381807
0.0414,177.631727794061
0.0415,188.963008222933
0.0416,190.76625423454
0.0417,196.26366492495
0.0418,203.586726944396
0.0419,205.284410696053
0.042,213.47128754132
0.0421,219.793254876259
0.0422,225.340701210435
0.0423,228.923859546352
0.0424,236.209223811351
0.0425,237.446588468874
0.0426,249.610395642319
0.0427,245.683510024215
0.0428,256.715134470751
0.0429,247.668587358538
0.043,257.558619367451
0.0431,257.335710678733
0.0432,265.428409976487
0.0433,269.268965708506
0.0434,259.314076406927
0.0435,267.611027652204
0.0436,271.076519711747
0.0437,284.328528054313
0.0438,293.673472460152
